Tarih,trend
2016-04-17,43
2016-04-24,49
2016-05-01,59
2016-05-08,51
2016-05-15,34
2016-05-22,54
2016-05-29,47
2016-06-05,50
2016-06-12,61
2016-06-19,54
2016-06-26,61
2016-07-03,28
2016-07-10,57
2016-07-17,55
2016-07-24,55
2016-07-31,64
2016-08-07,56
2016-08-14,62
2016-08-21,50
2016-08-28,56
2016-09-04,60
2016-09-11,33
2016-09-18,62
2016-09-25,66
2016-10-02,61
2016-10-09,54
2016-10-16,61
2016-10-23,56
2016-10-30,50
2016-11-06,46
2016-11-13,49
2016-11-20,60
2016-11-27,53
2016-12-04,41
2016-12-11,55
2016-12-18,55
2016-12-25,40
2017-01-01,31
2017-01-08,46
2017-01-15,49
2017-01-22,46
2017-01-29,45
2017-02-05,61
2017-02-12,60
2017-02-19,45
2017-02-26,48
2017-03-05,66
2017-03-12,50
2017-03-19,39
2017-03-26,45
2017-04-02,48
2017-04-09,43
2017-04-16,38
2017-04-23,47
2017-04-30,38
2017-05-07,43
2017-05-14,59
2017-05-21,59
2017-05-28,52
2017-06-04,51
2017-06-11,60
2017-06-18,51
2017-06-25,53
2017-07-02,76
2017-07-09,76
2017-07-16,69
2017-07-23,69
2017-07-30,56
2017-08-06,76
2017-08-13,57
2017-08-20,60
2017-08-27,34
2017-09-03,63
2017-09-10,59
2017-09-17,53
2017-09-24,70
2017-10-01,53
2017-10-08,63
2017-10-15,54
2017-10-22,56
2017-10-29,54
2017-11-05,62
2017-11-12,55
2017-11-19,41
2017-11-26,44
2017-12-03,51
2017-12-10,46
2017-12-17,57
2017-12-24,45
2017-12-31,46
2018-01-07,51
2018-01-14,52
2018-01-21,49
2018-01-28,42
2018-02-04,60
2018-02-11,50
2018-02-18,50
2018-02-25,44
2018-03-04,54
2018-03-11,45
2018-03-18,41
2018-03-25,42
2018-04-01,35
2018-04-08,38
2018-04-15,42
2018-04-22,46
2018-04-29,34
2018-05-06,43
2018-05-13,44
2018-05-20,38
2018-05-27,32
2018-06-03,36
2018-06-10,39
2018-06-17,37
2018-06-24,27
2018-07-01,42
2018-07-08,41
2018-07-15,50
2018-07-22,47
2018-07-29,49
2018-08-05,40
2018-08-12,29
2018-08-19,28
2018-08-26,34
2018-09-02,36
2018-09-09,37
2018-09-16,36
2018-09-23,30
2018-09-30,50
2018-10-07,49
2018-10-14,52
2018-10-21,41
2018-10-28,40
2018-11-04,46
2018-11-11,40
2018-11-18,67
2018-11-25,69
2018-12-02,78
2018-12-09,63
2018-12-16,69
2018-12-23,77
2018-12-30,66
2019-01-06,72
2019-01-13,86
2019-01-20,72
2019-01-27,61
2019-02-03,88
2019-02-10,84
2019-02-17,79
2019-02-24,90
2019-03-03,74
2019-03-10,100
2019-03-17,68
2019-03-24,61
2019-03-31,41
2019-04-07,46
2019-04-14,54
2019-04-21,62
2019-04-28,48
2019-05-05,50
2019-05-12,60
2019-05-19,50
2019-05-26,42
2019-06-02,33
2019-06-09,56
2019-06-16,48
2019-06-23,41
2019-06-30,51
2019-07-07,48
2019-07-14,55
2019-07-21,55
2019-07-28,47
2019-08-04,55
2019-08-11,45
2019-08-18,51
2019-08-25,42
2019-09-01,55
2019-09-08,49
2019-09-15,56
2019-09-22,49
2019-09-29,53
2019-10-06,56
2019-10-13,48
2019-10-20,33
2019-10-27,40
2019-11-03,41
2019-11-10,39
2019-11-17,43
2019-11-24,46
2019-12-01,38
2019-12-08,38
2019-12-15,31
2019-12-22,37
2019-12-29,29
2020-01-05,47
2020-01-12,37
2020-01-19,32
2020-01-26,45
2020-02-02,43
2020-02-09,32
2020-02-16,36
2020-02-23,31
2020-03-01,37
2020-03-08,28
2020-03-15,18
2020-03-22,18
2020-03-29,11
2020-04-05,11
2020-04-12,14
2020-04-19,7
2020-04-26,15
2020-05-03,19
2020-05-10,20
2020-05-17,13
2020-05-24,18
2020-05-31,26
2020-06-07,24
2020-06-14,27
2020-06-21,32
2020-06-28,33
2020-07-05,36
2020-07-12,34
2020-07-19,26
2020-07-26,24
2020-08-02,41
2020-08-09,43
2020-08-16,41
2020-08-23,42
2020-08-30,26
2020-09-06,39
2020-09-13,39
2020-09-20,41
2020-09-27,31
2020-10-04,32
2020-10-11,35
2020-10-18,24
2020-10-25,29
2020-11-01,22
2020-11-08,22
2020-11-15,30
2020-11-22,30
2020-11-29,20
2020-12-06,22
2020-12-13,23
2020-12-20,23
2020-12-27,15
2021-01-03,34
2021-01-10,21
2021-01-17,21
2021-01-24,28
2021-01-31,30
2021-02-07,30
2021-02-14,24
2021-02-21,36
2021-02-28,41
2021-03-07,21
2021-03-14,35
2021-03-21,29
2021-03-28,27
2021-04-04,30
2021-04-11,22
